Year,DEC Region,County,Town,Waterbody,Date,Number,Species Name,Size (inches )
2024,9,Allegany,Wellsville,Dyke Creek,March - fourth week,40,Brown Trout,12 -15 inches
2024,9,Allegany,Wellsville,Dyke Creek,March - fourth week,300,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Amity,Genesee River,April - first week,620,Brown Trout,12 -15 inches
2024,9,Allegany,Amity,Genesee River,April - first week,5320,Brown Trout,9 - 10 inches
2024,9,Allegany,Amity,Genesee River,April - third week,620,Brown Trout,12 -15 inches
2024,9,Allegany,Amity,Genesee River,April - third week,5320,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Amity,Genesee River,March - third week,620,Brown Trout,12 -15 inches
2024,9,Allegany,Amity,Genesee River,March - third week,5320,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Amity,Genesee River,May - first week,620,Brown Trout,12 -15 inches
2024,9,Allegany,Amity,Genesee River,May - first week,5320,Brown Trout,9 - 10 inches
2024,9,Allegany,Wellsville,Genesee River,April - first week,100,Brown Trout,12 -15 inches
2024,9,Allegany,Wellsville,Genesee River,April - first week,830,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Wellsville,Genesee River,April - third week,100,Brown Trout,12 -15 inches
2024,9,Allegany,Wellsville,Genesee River,April - third week,830,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Wellsville,Genesee River,March - third week,100,Brown Trout,12 -15 inches
2024,9,Allegany,Wellsville,Genesee River,March - third week,830,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Wellsville,Genesee River,May - first week,100,Brown Trout,12 -15 inches
2024,9,Allegany,Wellsville,Genesee River,May - first week,830,Rainbow Trout,9 - 10 inches
2024,9,Allegany,Bolivar,Little Genesee Creek,March - third week,840,Brook Trout,9 - 10 inches
2024,9,Allegany,Bolivar,Little Genesee Creek,March - third week,100,Brown Trout,12 -15 inches
2024,9,Allegany,Bolivar,Root Creek,March - third week,30,Brown Trout,12 -15 inches
2024,9,Allegany,Bolivar,Root Creek,March - third week,220,Rainbow Trout,9 - 10 inches
2024,9,Allegany,New Hudson,Rushford Camp Pond,June,200,Rainbow Trout,8 inches
2024,9,Allegany,Caneadea,Rushford Lake,Spring,1640,Brown Trout,8 inches
2024,9,Allegany,Caneadea,Rushford Lake,Spring,3990,Rainbow Trout,8 inches
2024,7,Broome,Sanford,Arctic Lake,Spring,2620,Rainbow Trout,8 inches
2024,7,Broome,Fenton,Chenango Lake,April,3150,Rainbow Trout,8 inches
2024,7,Broome,Fenton,Chenango Lake,March,5360,Rainbow Trout,8 inches
2024,7,Broome,Fenton,Chenango Lake,May,3150,Rainbow Trout,8 inches
2024,7,Broome,Lisle,Dudley Creek,March - third week,40,Brown Trout,12 -15 inches
2024,7,Broome,Lisle,Dudley Creek,March - third week,310,Brown Trout,9 - 10 inches
2024,7,Broome,Maine,East Branch Nanticoke Creek,March - third week,20,Brown Trout,12 -15 inches
2024,7,Broome,Maine,East Branch Nanticoke Creek,March - third week,160,Brown Trout,9 - 10 inches
2024,7,Broome,Union,Finch Hollow Site 1 (Overbrook),April,1050,Rainbow Trout,8 inches
2024,7,Broome,Nanticoke,Greenwood Lake,April,2100,Rainbow Trout,8 inches
2024,7,Broome,Chenango,Little Choconut 2e,Spring,210,Rainbow Trout,8 inches
2024,7,Broome,Maine,Nanticoke 7a,April,630,Rainbow Trout,8 inches
2024,7,Broome,Maine,Nanticoke Creek,March - third week,230,Brown Trout,12 -15 inches
2024,7,Broome,Maine,Nanticoke Creek,March - third week,2030,Brown Trout,9 - 10 inches
2024,7,Broome,Union,Nanticoke Creek,March - third week,100,Brown Trout,12 -15 inches
2024,7,Broome,Union,Nanticoke Creek,March - third week,840,Brown Trout,9 - 10 inches
2024,7,Broome,Lisle,Nanticoke Lake,May,2420,Rainbow Trout,8 inches
2024,7,Broome,Sanford,Oquaga Creek,April - first week,250,Brown Trout,12 -15 inches
2024,7,Broome,Sanford,Oquaga Creek,April - first week,2150,Brown Trout,9 - 10 inches
2024,7,Broome,Sanford,Palmers Pond,Spring,210,Rainbow Trout,8 inches
2024,7,Broome,Union,Patterson Pond (#1),April,840,Rainbow Trout,8 inches
2024,9,Cattaraugus,Allegany,Birch Run Pond #1,Early April,210,Rainbow Trout,8 inches
2024,9,Cattaraugus,South Valley,Bone Run,April - second week,40,Brown Trout,12 -15 inches
2024,9,Cattaraugus,South Valley,Bone Run,April - second week,330,Brown Trout,9 - 10 inches
2024,9,Cattaraugus,Franklinville,Case Lake,April - second week,630,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Franklinville,Case Lake,Spring,1640,Brown Trout,8 inches
2024,9,Cattaraugus,Franklinville,Case Lake,Spring,1890,Rainbow Trout,8 inches
2024,9,Cattaraugus,East Otto,Cattaraugus Creek S Br,April - first week,80,Brown Trout,12 -15 inches
2024,9,Cattaraugus,East Otto,Cattaraugus Creek S Br,April - first week,680,Rainbow Trout,9 - 10 inches
2024,9,Cattaraugus,Randolph,County Pond A,Early April,210,Rainbow Trout,8 inches
2024,9,Cattaraugus,Randolph,County Pond B,Early April,210,Rainbow Trout,8 inches
2024,9,Cattaraugus,Ashford,Crandall Pond,Mid April,320,Rainbow Trout,8 inches
2024,9,Cattaraugus,Freedom,Elton Creek,March - third week,360,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Freedom,Elton Creek,March - third week,3550,Brown Trout,9 - 10 inches
2024,9,Cattaraugus,Allegany,Five Mile Creek,April - first week,100,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Allegany,Five Mile Creek,April - first week,890,Brown Trout,9 - 10 inches
2024,9,Cattaraugus,Great Valley,Forks Creek,April - first week,130,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Great Valley,Forks Creek,April - first week,1110,Brown Trout,9 - 10 inches
2024,9,Cattaraugus,Franklinville,Franklinville Conservation Club Pond,March - fourth week,200,Rainbow Trout,9 - 10 inches
2024,9,Cattaraugus,Ellicottville,Great Valley Creek,April - first week,50,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Ellicottville,Great Valley Creek,April - first week,400,Brown Trout,9 - 10 inches
2024,9,Cattaraugus,Great Valley,Great Valley Creek,April - first week,210,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Great Valley,Great Valley Creek,April - first week,1830,Rainbow Trout,9 - 10 inches
2024,9,Cattaraugus,Farmersville,Harwood Lake,April - second week,370,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Farmersville,Harwood Lake,Spring,4820,Rainbow Trout,8 inches
2024,9,Cattaraugus,Franklinville,Ischua Creek,March - fourth week,780,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Franklinville,Ischua Creek,March - fourth week,6810,Rainbow Trout,9 - 10 inches
2024,9,Cattaraugus,Dayton,Lake Flavia,Mid April,2100,Rainbow Trout,8 inches
2024,9,Cattaraugus,Conewango,Little Conewango Creek,March - fourth week,160,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Conewango,Little Conewango Creek,March - fourth week,1420,Brown Trout,9 - 10 inches
2024,9,Cattaraugus,Mansfield,Mansfield Creek,April - first week,40,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Mansfield,Mansfield Creek,April - first week,370,Brown Trout,9 - 10 inches
2024,9,Cattaraugus,New Albion,New Albion Lake,Spring,320,Brown Trout,12 -15 inches
2024,9,Cattaraugus,New Albion,New Albion Lake,Spring,2550,Brown Trout,8 inches
2024,9,Cattaraugus,New Albion,New Albion Lake,Spring,2940,Rainbow Trout,8 inches
2024,9,Cattaraugus,Randolph,Paisley Park Pond,March,50,Rainbow Trout,8 inches
2024,9,Cattaraugus,Randolph,Paisley Park Pond,Mid April,60,Brook Trout,8 inches
2024,9,Cattaraugus,Elko,Quaker Lake,March,420,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Elko,Quaker Lake,Spring,3820,Brown Trout,8 inches
2024,9,Cattaraugus,Elko,Quaker Lake,Spring,4410,Rainbow Trout,8 inches
2024,9,Cattaraugus,Cold Spring,Quaker Run,March - fourth week,170,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Cold Spring,Quaker Run,March - fourth week,1440,Rainbow Trout,9 - 10 inches
2024,9,Cattaraugus,Red House,Red House Brook,March - fourth week,180,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Red House,Red House Brook,March - fourth week,1530,Rainbow Trout,9 - 10 inches
2024,9,Cattaraugus,Red House,Red House Lake,April,1470,Rainbow Trout,8 inches
2024,9,Cattaraugus,Red House,Red House Lake,May,790,Rainbow Trout,8 inches
2024,9,Cattaraugus,Red House,Science Lake,March,210,Rainbow Trout,8 inches
2024,9,Cattaraugus,Red House,Science Lake,Mid April,260,Rainbow Trout,8 inches
2024,9,Cattaraugus,Humphrey,Wrights Creek,April - second week,50,Brown Trout,12 -15 inches
2024,9,Cattaraugus,Humphrey,Wrights Creek,April - second week,380,Rainbow Trout,9 - 10 inches
2024,7,Cayuga,Ledyard,Cayuga Lake,April,9100,Brown Trout,8 inches
2024,7,Cayuga,Summer Hill,Fall Creek,April - third week,1310,Brook Trout,9 - 10 inches
2024,7,Cayuga,Sterling,Lake Ontario,Mid May,33170,Brown Trout,8 inches
2024,7,Cayuga,Brutus,North Brook,April - third week,100,Brown Trout,12 -15 inches
2024,7,Cayuga,Brutus,North Brook,April - third week,850,Brown Trout,9 - 10 inches
2024,7,Cayuga,Locke,Owasco Inlet,Mid April,3100,Brown Trout,9 - 10 inches
2024,7,Cayuga,Scipio,Owasco Lake,May,9100,Brown Trout,8 inches
2024,7,Cayuga,Scipio,Owasco Lake,May,5000,Rainbow Trout,8 inches
2024,7,Cayuga,Auburn,Owasco Outlet,April - fourth week,80,Brown Trout,12 -15 inches
2024,7,Cayuga,Auburn,Owasco Outlet,April - fourth week,700,Brown Trout,9 - 10 inches
2024,7,Cayuga,Genoa,Salmon Creek,April - second week,210,Brown Trout,12 -15 inches
2024,7,Cayuga,Genoa,Salmon Creek,April - second week,1760,Brown Trout,9 - 10 inches
2024,9,Chautauqua,Arkwright,Canadaway Creek,April - first week,40,Brown Trout,12 -15 inches
2024,9,Chautauqua,Arkwright,Canadaway Creek,April - first week,310,Rainbow Trout,9 - 10 inches
2024,9,Chautauqua,Stockton,Cassadaga Creek,March - fourth week,50,Brown Trout,12 -15 inches
2024,9,Chautauqua,Stockton,Cassadaga Creek,March - fourth week,410,Rainbow Trout,9 - 10 inches
2024,9,Chautauqua,Poland,Clay Pond,Early April,100,Brown Trout,12 -15 inches
2024,9,Chautauqua,Poland,Clay Pond,Early April,320,Rainbow Trout,8 inches
2024,9,Chautauqua,Villenova,Conewango Ck W Br,April - first week,30,Brown Trout,12 -15 inches
2024,9,Chautauqua,Villenova,Conewango Ck W Br,April - first week,280,Rainbow Trout,9 - 10 inches
2024,9,Chautauqua,Harmony,Goose Creek,April - fourth week,20,Brown Trout,12 -15 inches
2024,9,Chautauqua,Harmony,Goose Creek,April - fourth week,230,Rainbow Trout,9 - 10 inches
2024,9,Chautauqua,Harmony,Goose Creek,April - second week,20,Brown Trout,12 -15 inches
2024,9,Chautauqua,Harmony,Goose Creek,April - second week,230,Brown Trout,9 - 10 inches
2024,9,Chautauqua,Harmony,Goose Creek,March - fourth week,20,Brown Trout,12 -15 inches
2024,9,Chautauqua,Harmony,Goose Creek,March - fourth week,230,Rainbow Trout,9 - 10 inches
2024,9,Chautauqua,Harmony,Goose Creek,May - second week,20,Brown Trout,12 -15 inches
2024,9,Chautauqua,Harmony,Goose Creek,May - second week,230,Brown Trout,9 - 10 inches
2024,9,Chautauqua,N. Harmony/Harmony,Goose Creek,April - fourth week,30,Brown Trout,12 -15 inches
2024,9,Chautauqua,N. Harmony/Harmony,Goose Creek,April - fourth week,220,Rainbow Trout,9 - 10 inches
2024,9,Chautauqua,N. Harmony/Harmony,Goose Creek,April - second week,30,Brown Trout,12 -15 inches
2024,9,Chautauqua,N. Harmony/Harmony,Goose Creek,April - second week,220,Brown Trout,9 - 10 inches
2024,9,Chautauqua,N. Harmony/Harmony,Goose Creek,March - fourth week,30,Brown Trout,12 -15 inches
2024,9,Chautauqua,N. Harmony/Harmony,Goose Creek,March - fourth week,220,Rainbow Trout,9 - 10 inches
2024,9,Chautauqua,N. Harmony/Harmony,Goose Creek,May - second week,30,Brown Trout,12 -15 inches
2024,9,Chautauqua,N. Harmony/Harmony,Goose Creek,May - second week,220,Brown Trout,9 - 10 inches
2024,9,Chautauqua,North Harmony,Goose Creek,April - fourth week,40,Rainbow Trout,9 - 10 inches
2024,9,Chautauqua,North Harmony,Goose Creek,April - second week,40,Brown Trout,9 - 10 inches
2024,9,Chautauqua,North Harmony,Goose Creek,March - fourth week,40,Rainbow Trout,9 - 10 inches
2024,9,Chautauqua,North Harmony,Goose Creek,May - second week,40,Brown Trout,9 - 10 inches
2024,9,Chautauqua,Gerry,Mill Creek,April - first week,60,Brown Trout,12 -15 inches
2024,9,Chautauqua,Gerry,Mill Creek,April - first week,450,Rainbow Trout,9 - 10 inches
2024,8,Chemung,Van Etten,Cayuta Creek,April - fourth week,170,Brown Trout,12 -15 inches
2024,8,Chemung,Van Etten,Cayuta Creek,April - fourth week,1380,Brown Trout,9 - 10 inches
2024,8,Chemung,Van Etten,Cayuta Creek,April - second week,170,Brown Trout,12 -15 inches
2024,8,Chemung,Van Etten,Cayuta Creek,April - second week,1380,Brown Trout,9 - 10 inches
2024,8,Chemung,Van Etten,Cayuta Creek,March - fourth week,170,Brown Trout,12 -15 inches
2024,8,Chemung,Van Etten,Cayuta Creek,March - fourth week,1380,Brown Trout,9 - 10 inches
2024,8,Chemung,Van Etten,Cayuta Creek,May - second week,170,Brown Trout,12 -15 inches
2024,8,Chemung,Van Etten,Cayuta Creek,May - second week,1380,Brown Trout,9 - 10 inches
2024,8,Chemung,Elmira,Eldridge Lake,April,1050,Rainbow Trout,8 inches
2024,8,Chemung,Elmira,Eldridge Lake,March - April,160,Brown Trout,12 -15 inches
2024,8,Chemung,Elmira,Eldridge Lake,May,520,Rainbow Trout,8 inches
2024,8,Chemung,Erin,Park Station Pond,April,470,Brown Trout,12 -15 inches
2024,8,Chemung,Erin,Park Station Pond,April,1930,Rainbow Trout,8 inches
2024,8,Chemung,Big Flats,Sing Sing Creek,March - fourth week,30,Brown Trout,12 -15 inches
2024,8,Chemung,Big Flats,Sing Sing Creek,March - fourth week,300,Brown Trout,9 - 10 inches
2024,7,Chenango,Mcdonough,Bowman Lake,April,1680,Rainbow Trout,8 inches
2024,7,Chenango,Mcdonough,Bowman Lake,Spring,770,Brook Trout,8 inches
2024,7,Chenango,Greene,Genegantslet Creek,April - first week,230,Brown Trout,12 -15 inches
2024,7,Chenango,Greene,Genegantslet Creek,April - first week,1940,Brown Trout,9 - 10 inches
2024,7,Chenango,Smithville,Genegantslet Creek,April - first week,80,Brown Trout,12 -15 inches
2024,7,Chenango,Smithville,Genegantslet Creek,April - first week,660,Brown Trout,9 - 10 inches
2024,7,Chenango,Guilford,Guilford Lake,April,210,Brown Trout,12 -15 inches
2024,7,Chenango,Guilford,Guilford Lake,Spring,1890,Rainbow Trout,8 inches
2024,7,Chenango,N Norwich,Jeffrey Pond,May,1210,Brook Trout,8 inches
2024,7,Chenango,New Berlin,Mill Brook Reservoir,April,160,Brown Trout,12 -15 inches
2024,7,Chenango,New Berlin,Mill Brook Reservoir,April,2100,Rainbow Trout,8 inches
2024,7,Chenango,Otselic,Otselic River,March - fourth week,670,Brown Trout,12 -15 inches
2024,7,Chenango,Otselic,Otselic River,March - fourth week,6000,Brown Trout,9 - 10 inches
2024,7,Chenango,Pharsalia,Pharsalia Y Pond,Spring,110,Brook Trout,8 inches
2024,5,Clinton,Altona,Ace Club Pond,Spring,420,Rainbow Trout,8 inches
2024,5,Clinton,Altona,Altona School Pond,Spring,200,Rainbow Trout,8 inches
2024,5,Clinton,"Black Brook, Wilmington, Jay",Black Brook,May - first week,540,Brook Trout,9 - 10 inches
2024,5,Clinton,Dannemora,Chazy Lake,Spring,8080,Rainbow Trout,8 inches
2024,5,Clinton,Peru and Ausable,Dry Mill Brook,April - first week,60,Brown Trout,12 -15 inches
2024,5,Clinton,Peru and Ausable,Dry Mill Brook,April - first week,540,Brown Trout,9 - 10 inches
2024,5,Clinton,Chazy,Little Chazy River,April - first week,40,Brown Trout,12 -15 inches
2024,5,Clinton,Chazy,Little Chazy River,April - first week,320,Brown Trout,9 - 10 inches
2024,5,Clinton,Black Brook,Military Pond,Spring,590,Brown Trout,8 inches
2024,5,Clinton,Black Brook,Mud Pond,Spring,910,Brown Trout,8 inches
2024,5,Clinton,"Altona, E'burg, Moores",North Branch Great Chazy River,April - fourth week,60,Brown Trout,12 -15 inches
2024,5,Clinton,"Altona, E'burg, Moores",North Branch Great Chazy River,April - fourth week,540,Brown Trout,9 - 10 inches
2024,5,Clinton,"Altona, E'burg, Moores",North Branch Great Chazy River,April - second week,60,Brown Trout,12 -15 inches
2024,5,Clinton,"Altona, E'burg, Moores",North Branch Great Chazy River,April - second week,540,Brown Trout,9 - 10 inches
2024,5,Clinton,"Altona, E'burg, Moores",North Branch Great Chazy River,May - fourth week,60,Brown Trout,12 -15 inches
2024,5,Clinton,"Altona, E'burg, Moores",North Branch Great Chazy River,May - fourth week,540,Brown Trout,9 - 10 inches
2024,5,Clinton,"Altona, E'burg, Moores",North Branch Great Chazy River,May - second week,60,Brown Trout,12 -15 inches
2024,5,Clinton,"Altona, E'burg, Moores",North Branch Great Chazy River,May - second week,540,Brown Trout,9 - 10 inches
2024,5,Clinton,Mooers,North Branch Great Chazy River,April - fourth week,100,Rainbow Trout,12 -14 inches
2024,5,Clinton,Mooers,North Branch Great Chazy River,April - fourth week,880,Rainbow Trout,9 - 10 inches
2024,5,Clinton,Mooers,North Branch Great Chazy River,April - second week,100,Brown Trout,12 -15 inches
2024,5,Clinton,Mooers,North Branch Great Chazy River,April - second week,880,Brown Trout,9 - 10 inches
2024,5,Clinton,Mooers,North Branch Great Chazy River,May - fourth week,100,Rainbow Trout,12 -14 inches
2024,5,Clinton,Mooers,North Branch Great Chazy River,May - fourth week,880,Rainbow Trout,9 - 10 inches
2024,5,Clinton,Mooers,North Branch Great Chazy River,May - second week,100,Brown Trout,12 -15 inches
2024,5,Clinton,Mooers,North Branch Great Chazy River,May - second week,880,Brown Trout,9 - 10 inches
2024,5,Clinton,Black Brook and Saranac,North Branch Saranac River,April - third week,390,Brown Trout,12 -15 inches
2024,5,Clinton,Black Brook and Saranac,North Branch Saranac River,April - third week,3360,Brown Trout,9 - 10 inches
2024,5,Clinton,Peru,Peru F & G Club Pond,Spring,100,Rainbow Trout,8 inches
2024,5,Clinton,Peru,Salmon River,April - first week,30,Brown Trout,12 -15 inches
2024,5,Clinton,Peru,Salmon River,April - first week,290,Brown Trout,9 - 10 inches
2024,5,Clinton,Black Brook,Saranac River,April - fourth week,170,Brown Trout,12 -15 inches
2024,5,Clinton,Black Brook,Saranac River,April - fourth week,1540,Brown Trout,9 - 10 inches
2024,5,Clinton,Black Brook,Saranac River,June - second week,170,Rainbow Trout,12 -14 inches
2024,5,Clinton,Black Brook,Saranac River,June - second week,1540,Rainbow Trout,9 - 10 inches
2024,5,Clinton,Black Brook,Saranac River,May - fourth week,170,Brown Trout,12 -15 inches
2024,5,Clinton,Black Brook,Saranac River,May - fourth week,1540,Brown Trout,9 - 10 inches
2024,5,Clinton,Black Brook,Saranac River,May - second week,170,Rainbow Trout,12 -14 inches
2024,5,Clinton,Black Brook,Saranac River,May - second week,1540,Rainbow Trout,9 - 10 inches
2024,5,Clinton,Plattsburgh,Saranac River,April - fourth week,340,Brown Trout,12 -15 inches
2024,5,Clinton,Plattsburgh,Saranac River,April - fourth week,2980,Brown Trout,9 - 10 inches
2024,5,Clinton,Saranac,Saranac River,April - fourth week,230,Brown Trout,12 -15 inches
2024,5,Clinton,Saranac,Saranac River,April - fourth week,1960,Brown Trout,9 - 10 inches
2024,5,Clinton,Plattsburgh,Scribner Pond,May - June,100,Rainbow Trout,8 inches
2024,4,Columbia,Chatham,Kinderhook Creek,April - first week,110,Rainbow Trout,12 -14 inches
2024,4,Columbia,Chatham,Kinderhook Creek,April - first week,950,Rainbow Trout,9 - 10 inches
2024,4,Columbia,Chatham,Kinderhook Creek,April - third week,110,Rainbow Trout,12 -14 inches
2024,4,Columbia,Chatham,Kinderhook Creek,April - third week,950,Rainbow Trout,9 - 10 inches
2024,4,Columbia,Chatham,Kinderhook Creek,March - third week,110,Rainbow Trout,12 -14 inches
2024,4,Columbia,Chatham,Kinderhook Creek,March - third week,950,Rainbow Trout,9 - 10 inches
2024,4,Columbia,Chatham,Kinderhook Creek,May - first week,110,Rainbow Trout,12 -14 inches
2024,4,Columbia,Chatham,Kinderhook Creek,May - first week,950,Rainbow Trout,9 - 10 inches
2024,4,Columbia,New Lebanon,Kinderhook Creek,April - first week,100,Rainbow Trout,12 -14 inches
2024,4,Columbia,New Lebanon,Kinderhook Creek,April - first week,870,Rainbow Trout,9 - 10 inches
2024,4,Columbia,New Lebanon,Kinderhook Creek,April - third week,100,Rainbow Trout,12 -14 inches
2024,4,Columbia,New Lebanon,Kinderhook Creek,April - third week,870,Rainbow Trout,9 - 10 inches
2024,4,Columbia,New Lebanon,Kinderhook Creek,March - third week,100,Rainbow Trout,12 -14 inches
2024,4,Columbia,New Lebanon,Kinderhook Creek,March - third week,870,Rainbow Trout,9 - 10 inches
2024,4,Columbia,New Lebanon,Kinderhook Creek,May - first week,100,Rainbow Trout,12 -14 inches
2024,4,Columbia,New Lebanon,Kinderhook Creek,May - first week,870,Rainbow Trout,9 - 10 inches
2024,4,Columbia,Copake,Ore Pit Pond,April,320,Rainbow Trout,8 inches
2024,4,Columbia,Canaan,Queechy Lake,Spring,1640,Brown Trout,8 inches
2024,4,Columbia,Canaan,Queechy Lake,Spring,1890,Rainbow Trout,8 inches
2024,4,Columbia,Clermont,Roeliff Jansen Kill,April - second week,620,Brown Trout,12 -15 inches
2024,4,Columbia,Clermont,Roeliff Jansen Kill,April - second week,5340,Brown Trout,9 - 10 inches
2024,4,Columbia,Gallatin,Roeliff Jansen Kill,April - second week,190,Brown Trout,12 -15 inches
2024,4,Columbia,Gallatin,Roeliff Jansen Kill,April - second week,1630,Brown Trout,9 - 10 inches
2024,4,Columbia,Greenport,Taghkanic Creek,April - first week,250,Brown Trout,12 -15 inches
2024,4,Columbia,Greenport,Taghkanic Creek,April - first week,2140,Brown Trout,9 - 10 inches
2024,4,Columbia,Ancram,Weed Mines Pond,April,210,Rainbow Trout,8 inches
2024,7,Cortland,Homer,Casterline Pond,Mid April,260,Brown Trout,12 -15 inches
2024,7,Cortland,Homer,Casterline Pond,Mid April,940,Rainbow Trout,8 inches
2024,7,Cortland,Homer,Durkee Park Pond,Mid April,50,Brown Trout,12 -15 inches
2024,7,Cortland,Homer,Durkee Park Pond,Mid April,230,Brown Trout,8 inches
2024,7,Cortland,Homer,Durkee Park Pond,Mid April,520,Rainbow Trout,8 inches
2024,7,Cortland,Cortlandville,East Branch Tioughnioga River,April - third week,100,Brown Trout,12 -15 inches
2024,7,Cortland,Cortlandville,East Branch Tioughnioga River,April - third week,920,Brown Trout,9 - 10 inches
2024,7,Cortland,Cuyler,East Branch Tioughnioga River,April - third week,10,Brown Trout,12 -15 inches
2024,7,Cortland,Cuyler,East Branch Tioughnioga River,April - third week,80,Brown Trout,9 - 10 inches
2024,7,Cortland,Homer,East Branch Tioughnioga River,April - third week,160,Brown Trout,12 -15 inches
2024,7,Cortland,Homer,East Branch Tioughnioga River,April - third week,1450,Brown Trout,9 - 10 inches
2024,7,Cortland,Truxton,East Branch Tioughnioga River,April - third week,200,Brown Trout,12 -15 inches
2024,7,Cortland,Truxton,East Branch Tioughnioga River,April - third week,1780,Brown Trout,9 - 10 inches
2024,7,Cortland,Preble,Little York Lake,April - third week,4090,Brown Trout,8 inches
2024,7,Cortland,Cincinnatus,Otselic River,April - first week,10,Brown Trout,12 -15 inches
2024,7,Cortland,Cincinnatus,Otselic River,April - first week,80,Brown Trout,9 - 10 inches
2024,7,Cortland,Cincinnatus,Otselic River,March - fourth week,190,Brown Trout,12 -15 inches
2024,7,Cortland,Cincinnatus,Otselic River,March - fourth week,1620,Brown Trout,9 - 10 inches
2024,7,Cortland,Homer,West Branch Tioughnioga River,April - second week,220,Brown Trout,12 -15 inches
2024,7,Cortland,Homer,West Branch Tioughnioga River,April - second week,1880,Brown Trout,9 - 10 inches
2024,4,Delaware,Colchester,Beaver Kill,April - first week,250,Brown Trout,12 -15 inches
2024,4,Delaware,Colchester,Beaver Kill,April - first week,2150,Brown Trout,9 - 10 inches
2024,4,Delaware,Colchester,Beaver Kill,April - third week,250,Brown Trout,12 -15 inches
2024,4,Delaware,Colchester,Beaver Kill,April - third week,2150,Brown Trout,9 - 10 inches
2024,4,Delaware,Colchester,Beaver Kill,May - first week,250,Brown Trout,12 -15 inches
2024,4,Delaware,Colchester,Beaver Kill,May - first week,2150,Brown Trout,9 - 10 inches
2024,4,Delaware,Colchester,Beaver Kill,May - third week,250,Brown Trout,12 -15 inches
2024,4,Delaware,Colchester,Beaver Kill,May - third week,2150,Brown Trout,9 - 10 inches
2024,4,Delaware,Andes,Big Pond,Spring,230,Brown Trout,8 inches
